priority,domain,tinysoft_table_id,tinysoft_table_name,extract_mode,refresh_freq,alpha_target_table,similar_tushare_tables,similar_akshare_tables,overlap_level,key_diff_fields,recommendation
P1,stock,146,股票质押回购余量,Infoarray,每周,tinysoft.stock_pledge_balance,tushare.stock_pledgestat,,partial,"余量拆分(无限售/有限售)与数据来源",enhance_existing
P1,stock,147,股票质押回购平均质押率,Infoarray,每周,tinysoft.stock_pledge_rate,tushare.stock_pledgestat,,partial,"无限售/有限售质押率",enhance_existing
P1,fund,318,持股明细,InfoArray,季度,tinysoft.fund_holding_detail_ext,tushare.fund_portfolio,,partial,"中报/年报全量持仓与指数投资拆分字段",enhance_existing
P1,fund,320,行业配置,InfoArray,季度,tinysoft.fund_industry_alloc_ext,tushare.fund_portfolio,,partial,"行业名称与占净值比例,与主代码映射联动",enhance_existing
P1,fund,322,资产配置,report,季度,tinysoft.fund_asset_alloc_ext,tushare.fund_portfolio;tushare.fund_nav,,partial,"权益/债券/优先股/存托凭证等多资产桶",enhance_existing
P1,fund,355,基金分类信息,Infoarray,不定期,tinysoft.fund_classification_info,tushare.fund_basic,,partial,"分类层级与入选/剔除日期(版本化)",enhance_existing
P1,fund,356,基金分类,Infoarray,不定期,tinysoft.fund_classification_member,tushare.fund_basic,,partial,"基金到分类的历史映射(版本化)",enhance_existing
P1,index,752,指数成份,InfoArray,不定期,tinysoft.index_member_versioned,tushare.index_cimember;tushare.index_swmember;tushare.index_weight,akshare.index_stock_cons_csindex;akshare.index_stock_cons_weight_csindex,partial,"入选/剔除公布日与调整类型,跨提供方统一",enhance_existing
P2,fund,302,基金基本信息,InfoArray,不定期,,tushare.fund_basic,,high,"基础静态字段高度重合",skip_duplicate
P2,fund,308,基金经理,InfoArray,不定期,,tushare.fund_manager,,high,"经理履历主字段已覆盖",skip_duplicate
P2,fund,310,基金财务指标(季度),report,季度,,tushare.fund_nav;tushare.fund_factor_pro,,medium,"部分财务口径可由现有表替代",skip_duplicate
P2,index,750,指数基本信息,Base,每日,,tushare.index_basic,akshare.index_csindex_all,high,"基础属性大多可由现有源覆盖",skip_duplicate
